Name,Address,City,State,Zip Code,Country,Latitude,Longitude
Chipotle Mexican Grill,346 W Magnolia Ave   ,Auburn,Alabama,36832,US,32.60681297,-85.48732833
Chipotle Mexican Grill,300 20th St S   ,Birmingham,Alabama,35233,US,33.5097215,-86.80275567
Chipotle Mexican Grill,3220 Morrow Rd    ,Birmingham,Alabama,35235,US,33.59558141,-86.64743685
Chipotle Mexican Grill,4719 Highway 280    ,Birmingham,Alabama,35242,US,33.42258215,-86.69827947
Chipotle Mexican Grill,1821 Cherokee Ave SW   ,Cullman,Alabama,35055,US,34.15413377,-86.84122008
Chipotle Mexican Grill,1759 Montgomery Hwy    ,Hoover,Alabama,35244,US,33.37895803,-86.8038021
Chipotle Mexican Grill,5900 University Dr NW Ste D2 ,Huntsville,Alabama,35806,US,34.74231925,-86.66572046
Chipotle Mexican Grill,3871 Airport Blvd    ,Mobile,Alabama,36608,US,30.67533781,-88.14375393
Chipotle Mexican Grill,7765 Airport Blvd D100   ,Mobile,Alabama,36608,US,30.68273058,-88.22499816
Chipotle Mexican Grill,2560 Berryhill Rd Ste C  ,Montgomery,Alabama,36117,US,32.35917688,-86.16225285
Chipotle Mexican Grill,2125 Interstate Dr    ,Opelika,Alabama,36801,US,32.61680875,-85.40447877
Chipotle Mexican Grill,2566 Cobbs Ford Rd   ,Prattville,Alabama,36066,US,32.459169,-86.391343
Chipotle Mexican Grill,1203 University Blvd    ,Tuscaloosa,Alabama,35401,US,33.21066867,-87.55362089
Chipotle Mexican Grill,1800 McFarland Blvd E Ste 608 ,Tuscaloosa,Alabama,35404,US,33.196755,-87.52704205
Chipotle Mexican Grill,1031 Montgomery Hwy Ste 111  ,Vestivia Hills,Alabama,35216,US,33.43906916,-86.78828457
Chipotle Mexican Grill,9925 W McDowell Rd Ste 101 ,Avondale,Arizona,85392,US,33.46437706,-112.2731936
Chipotle Mexican Grill,944 S Watson Rd Buckeye  ,Buckeye,Arizona,85326,US,33.4383084,-112.5583039
Chipotle Mexican Grill,1775 E Florence Blvd Ste 1 ,Grande,Arizona,85122,US,32.87913006,-111.7112353
Chipotle Mexican Grill,5355 E Carefree Hwy Bldg E ,Creek,Arizona,85331,US,33.7991455,-111.9660838
Chipotle Mexican Grill,2895 S Alma School Rd Ste 1,Chandler,Arizona,85286,US,33.26392224,-111.8572606
Chipotle Mexican Grill,3395 W Chandler Blvd Suite 1 ,Chandler,Arizona,85226,US,33.30528109,-111.8999822
Chipotle Mexican Grill,890 N 54th St Ste 5 ,Chandler,Arizona,85226,US,33.31742039,-111.9688276
Chipotle Mexican Grill,1111 S Plaza Way   ,Flagstaff,Arizona,86001,US,35.18986,-111.661643
Chipotle Mexican Grill,1084 S Gilbert Rd Ste 104 ,Gilbert,Arizona,85296,US,33.32988022,-111.7908959
Chipotle Mexican Grill,1546 N Cooper Rd   ,Gilbert,Arizona,85233,US,33.3779242,-111.8076396
Chipotle Mexican Grill,2224 E Williams Field Rd Ste 109,Gilbert,Arizona,85295,US,33.3081148,-111.7427414
Chipotle Mexican Grill,3757 S Gilbert Rd Ste 110 ,Gilbert,Arizona,85297,US,33.281812,-111.7889158
Chipotle Mexican Grill,20004 N 67th Ave Suite 500 ,Glendale,Arizona,85308,US,33.6659131,-112.2034538
Chipotle Mexican Grill,5849 W Northern Ave Ste 500 ,Glendale,Arizona,85301,US,33.5523649,-112.1856023
Chipotle Mexican Grill,5880 W Thunderbird Rd Ste 1 ,Glendale,Arizona,85306,US,33.61131276,-112.1845225
Chipotle Mexican Grill,7700 W Arrowhead Towne Ctr Ste 2067,Glendale,Arizona,85308,US,33.64207418,-112.2253047
Chipotle Mexican Grill,9410 W Hanna Ln Ste A101 ,Glendale,Arizona,85305,US,33.53508568,-112.2619515
Chipotle Mexican Grill,1560 N Litchfield Rd   ,Goodyear,Arizona,85395,US,33.46380663,-112.3586628
Chipotle Mexican Grill,18725 S Nogales Hwy   ,Valley,Arizona,85614,US,31.909951,-110.9799733
Chipotle Mexican Grill,3455 N Stockton Hill Rd Ste C,Kingman,Arizona,86409,US,35.2241165,-114.0370087
Chipotle Mexican Grill,55 Lake Havasu Ave S Ste M,City,Arizona,86403,US,34.47479665,-114.3455107
Chipotle Mexican Grill,5130 W Baseline Rd Ste 105 ,Laveen,Arizona,85339,US,33.37927,-112.1689994
Chipotle Mexican Grill,5940 W Arizona Pavillions Dr Ste 110,Marana,Arizona,85743,US,32.35488472,-111.091652
Chipotle Mexican Grill,21423 N John Wayne Pkwy Ste 105,Maricopa,Arizona,85139,US,33.0735015,-112.0428503
Chipotle Mexican Grill,1229 E McKellips Rd Ste 102 ,Mesa,Arizona,85203,US,33.45106526,-111.8033569
Chipotle Mexican Grill,1335 S Alma School Rd Ste 105,Mesa,Arizona,85210,US,33.38960599,-111.8568272
Chipotle Mexican Grill,1411 S Power Rd Ste 103 ,Mesa,Arizona,85206,US,33.3898773,-111.6839359
Chipotle Mexican Grill,1955 S Signal Butte Rd Ste 101,Mesa,Arizona,85209,US,33.37942482,-111.600949
Chipotle Mexican Grill,2849 N Power Rd Ste 101 ,Mesa,Arizona,85215,US,33.46790531,-111.6834685
Chipotle Mexican Grill,3440 E Baseline Rd Unit 104 ,Mesa,Arizona,85204,US,33.37966761,-111.7558129
