Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
601.0,17242.0,40.5,13092.0,6999.0,10772.0,62.47535088736805
602.0,38442.0,42.3,16358.0,9277.0,19611.0,51.01451537380989
603.0,48814.0,41.1,16603.0,11307.0,24337.0,49.85659851681895
606.0,6437.0,43.3,12832.0,5943.0,4163.0,64.67298430946093
610.0,27073.0,42.1,19309.0,10220.0,11724.0,43.30513796032948
612.0,60303.0,42.4,18171.0,10549.0,28547.0,47.339270019733675
616.0,10765.0,42.1,16018.0,9102.0,5388.0,50.05109150023223
617.0,23974.0,40.1,16735.0,9122.0,11879.0,49.549511971302245
622.0,6578.0,52.5,15206.0,11749.0,3309.0,50.30404378230465
623.0,42427.0,41.8,16280.0,8857.0,22617.0,53.30803497772645
624.0,22707.0,37.9,17578.0,8696.0,12519.0,55.132778438367026
627.0,32222.0,40.8,16831.0,10252.0,16153.0,50.13034572652225
631.0,1568.0,47.4,9681.0,7863.0,1020.0,65.05102040816327
637.0,22975.0,42.1,16887.0,9586.0,10756.0,46.816104461371054
638.0,16701.0,42.0,14916.0,8485.0,9291.0,55.63139931740614
641.0,27571.0,43.1,16795.0,8739.0,14287.0,51.81894019078017
646.0,37494.0,39.9,29320.0,16462.0,12935.0,34.49885314983731
647.0,5643.0,48.0,13674.0,7556.0,3532.0,62.59082048555733
650.0,14760.0,39.2,19631.0,8799.0,7718.0,52.289972899728994
652.0,3697.0,39.8,21650.0,11156.0,1620.0,43.81931295645118
653.0,11140.0,39.6,12915.0,7366.0,7167.0,64.33572710951526
656.0,18979.0,41.0,16902.0,8701.0,10521.0,55.434954423309975
659.0,40390.0,41.5,17201.0,10659.0,18717.0,46.34067838573905
660.0,16180.0,45.8,19394.0,11874.0,6592.0,40.741656365883806
662.0,40290.0,41.1,17180.0,9320.0,21809.0,54.13005708612559
664.0,14991.0,38.0,15253.0,7501.0,8935.0,59.60242812354079
667.0,23590.0,44.4,13766.0,7268.0,14358.0,60.86477320898686
669.0,25653.0,42.1,14816.0,8779.0,13931.0,54.30553931314076
670.0,8498.0,41.0,13427.0,7270.0,4759.0,56.00141209696399
674.0,39859.0,41.6,19211.0,10878.0,18226.0,45.72618480142502
676.0,36995.0,39.5,14146.0,8802.0,21084.0,56.9914853358562
